response_id,profiling_role,profiling_location,profiling_region,profiling_sector,survey_question_title,survey_question_type,option,suboption,answer
7940940100,,,,,,,,,
7940940101,,,,,,,,,
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),In which major markets are you processing corporate actions and proxy votes today?,table-radio,Valuations,,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),In which major markets are you processing corporate actions and proxy votes today?,table-radio,Foreign Exchange / FX,,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much did T+1 impact your levels of automation (straight through processing) in each of the following activities? Are you more or less automated than before T+1?,table-radio,Corporate Actions,,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),In which major markets are you processing corporate actions and proxy votes today?,table-radio,Corporate Actions,,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much did T+1 impact your levels of automation (straight through processing) in each of the following activities? Are you more or less automated than before T+1?,table-radio,Securities lending,,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),In which major markets are you processing corporate actions and proxy votes today?,table-radio,Securities lending,,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much did T+1 impact your levels of automation (straight through processing) in each of the following activities? Are you more or less automated than before T+1?,table-radio,Fails management,,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),In which major markets are you processing corporate actions and proxy votes today?,table-radio,Fails management,,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much did T+1 impact your levels of automation (straight through processing) in each of the following activities? Are you more or less automated than before T+1?,table-radio,Settlements,,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),In which major markets are you processing corporate actions and proxy votes today?,table-radio,Settlements,,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much did T+1 impact your levels of automation (straight through processing) in each of the following activities? Are you more or less automated than before T+1?,table-radio,Collateral Management,,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),In which major markets are you processing corporate actions and proxy votes today?,table-radio,Collateral Management,,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much did T+1 impact your levels of automation (straight through processing) in each of the following activities? Are you more or less automated than before T+1?,table-radio,"Funding (including treasury management, margining, clearing, etc.)",,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),In which major markets are you processing corporate actions and proxy votes today?,table-radio,"Funding (including treasury management, margining, clearing, etc.)",,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much did T+1 impact your levels of automation (straight through processing) in each of the following activities? Are you more or less automated than before T+1?,table-radio,Foreign Exchange / FX,,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How would you rate the importance of the following factors by their importance in ensuring a smooth transition to T+1 in 2024?,table-stars,Affirmation model (on T+0),,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much did T+1 impact your levels of automation (straight through processing) in each of the following activities? Are you more or less automated than before T+1?,table-radio,Valuations,,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),In which major markets are you processing corporate actions and proxy votes today?,table-radio,Exception handling,,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much did T+1 impact your levels of automation (straight through processing) in each of the following activities? Are you more or less automated than before T+1?,table-radio,Exception handling,,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much of your daily trading volumes or holdings today are impacted by the following events?,table-radio,Near-misses / trade exceptions (including DKs),,11-15%
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much of your daily trading volumes or holdings today are impacted by the following events?,table-radio,Extended settlements (i.e. on T+2 or more),,Above 15%
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much of your daily trading volumes or holdings today are impacted by the following events?,table-radio,Trades being processed in the day cycle (on a gross basis),,Don't Know
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much of your daily trading volumes or holdings today are impacted by the following events?,table-radio,Trade fails (affirmed trades),,Above 15%
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much of your daily trading volumes or holdings today are impacted by the following events?,table-radio,Trade fails (unaffirmed trades),,Above 15%
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much of your daily trading volumes or holdings today are impacted by the following events?,table-radio,Trade fails (blind-affirmed trades),,Don't Know
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much of your daily trading volumes or holdings today are impacted by the following events?,table-radio,Missed corporate action elections,,Above 15%
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Please rank the importance of the following partners in defining and executing your innovation agenda for the next 3 years.,table-stars,Allocations being complete on T+0,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Who do you see as the key partners in resolving the expansion projects above?,table-stars,Allocations being complete on T+0,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How would you rate the importance of the following factors by their importance in ensuring a smooth transition to T+1 in 2024?,table-stars,Allocations being complete on T+0,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Please rank the importance of the following partners in defining and executing your innovation agenda for the next 3 years.,table-stars,Affirmation model (on T+0),,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Who do you see as the key partners in resolving the expansion projects above?,table-stars,Affirmation model (on T+0),,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What is your current annual IT / system and headcount spend on asset servicing?,radio,,,1-80%
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),"Before T+1, we identified a range of key risks. How have they materialised for your operations following the May transitions?",table-radio,Smaller firms triggering manual processing,,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How would you rate the importance of the following factors by their importance in ensuring a smooth transition to T+1 in 2024?,table-stars,Clarity on rules and T+1 market operating framework,,3
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What is your minimum required level of investment into an African market (i.e. in order to justify the costs and administration)?,radio,,,1-80%
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What do you estimate your affirmation rate to be today (as a percentage of your total trading volumes)?,radio,,,1-80%
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),When do you expect to begin these projects?,radio,,,Yes
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How do you expect the following cost levels to change in the coming 3 years?,radio,,,Yes
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),"In which areas do you believe your error rates to be unnecessarily high, based on the following issues:",radio,,,Yes
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Have you changed your fund subscription / redemption cycle as a direct result of the T+1 transition?,radio,,,Yes
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What challenges are you experiencing in successfully realizing the expansion projects above?,table-radio,FX (booking and execution),,Better than expected
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What do you expect the adoption rates of digital assets to be in the next 10 years? As a % of overall issuances (% of overall issuance volumes for your funding and treasury management).,table-radio,FX (booking and execution),,Better than expected
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),"Before T+1, we identified a range of key risks. How have they materialised for your operations following the May transitions?",table-radio,FX (booking and execution),,Better than expected
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What challenges are you experiencing in successfully realizing the expansion projects above?,table-radio,Securities lending recalls,,Better than expected
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What do you expect the adoption rates of digital assets to be in the next 10 years? As a % of overall issuances (% of overall issuance volumes for your funding and treasury management).,table-radio,Securities lending recalls,,Better than expected
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),"Before T+1, we identified a range of key risks. How have they materialised for your operations following the May transitions?",table-radio,Securities lending recalls,,Better than expected
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What challenges are you experiencing in successfully realizing the expansion projects above?,table-radio,Smaller firms triggering manual processing,,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What do you expect the adoption rates of digital assets to be in the next 10 years? As a % of overall issuances (% of overall issuance volumes for your funding and treasury management).,table-radio,Smaller firms triggering manual processing,,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much did T+1 impact your levels of automation (straight through processing) in each of the following activities? Are you more or less automated than before T+1?,table-radio,Middle Office (Allocations / Confirmations / Affirmations),,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What challenges are you experiencing in successfully realizing the expansion projects above?,table-radio,Manual exception handling (across the trade cycle),,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What do you expect the adoption rates of digital assets to be in the next 10 years? As a % of overall issuances (% of overall issuance volumes for your funding and treasury management).,table-radio,Manual exception handling (across the trade cycle),,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),"Before T+1, we identified a range of key risks. How have they materialised for your operations following the May transitions?",table-radio,Manual exception handling (across the trade cycle),,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What challenges are you experiencing in successfully realizing the expansion projects above?,table-radio,Funding (challenges with dislocation and cash management),,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What do you expect the adoption rates of digital assets to be in the next 10 years? As a % of overall issuances (% of overall issuance volumes for your funding and treasury management).,table-radio,Funding (challenges with dislocation and cash management),,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),"Before T+1, we identified a range of key risks. How have they materialised for your operations following the May transitions?",table-radio,Funding (challenges with dislocation and cash management),,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What challenges are you experiencing in successfully realizing the expansion projects above?,table-radio,Trade fails,,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What do you expect the adoption rates of digital assets to be in the next 10 years? As a % of overall issuances (% of overall issuance volumes for your funding and treasury management).,table-radio,Trade fails,,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),"Before T+1, we identified a range of key risks. How have they materialised for your operations following the May transitions?",table-radio,Trade fails,,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),In which major markets are you processing corporate actions and proxy votes today?,table-radio,Account opening / onboarding (including Settlement Instruction / SSI maintenance),,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much did T+1 impact your levels of automation (straight through processing) in each of the following activities? Are you more or less automated than before T+1?,table-radio,Account opening / onboarding (including Settlement Instruction / SSI maintenance),,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),In which major markets are you processing corporate actions and proxy votes today?,table-radio,Trade Execution,,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How much did T+1 impact your levels of automation (straight through processing) in each of the following activities? Are you more or less automated than before T+1?,table-radio,Trade Execution,,No change
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),In which major markets are you processing corporate actions and proxy votes today?,table-radio,Middle Office (Allocations / Confirmations / Affirmations),,More automated
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),"Given the ongoing market consultations, how would you rate your own readiness for a T+1 transition in the UK, Europe and Australia today?",table-stars,Japan,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How often do you undertake the below tasks to drive your innovation? ,table-radio,Increased readiness for future market transitions to T+1,,No opinion
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What is the main solution that you are planning to use for corporate actions in these cases?,table-radio,Increased readiness for future market transitions to T+1,,No opinion
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Do you agree or disagree that the May 2024 T+1 transitions effectively achieved the following:,table-radio,Increased readiness for future market transitions to T+1,,No opinion
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How often do you undertake the below tasks to drive your innovation? ,table-radio,Readiness for T+0,,No opinion
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What is the main solution that you are planning to use for corporate actions in these cases?,table-radio,Readiness for T+0,,No opinion
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Do you agree or disagree that the May 2024 T+1 transitions effectively achieved the following:,table-radio,Readiness for T+0,,No opinion
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What is the main project type that you trade (voluntary) carbon credits for?,table-stars,UK,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),"Given the ongoing market consultations, how would you rate your own readiness for a T+1 transition in the UK, Europe and Australia today?",table-stars,UK,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What is the main project type that you trade (voluntary) carbon credits for?,table-stars,Europe,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),"Given the ongoing market consultations, how would you rate your own readiness for a T+1 transition in the UK, Europe and Australia today?",table-stars,Europe,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What is the main project type that you trade (voluntary) carbon credits for?,table-stars,Switzerland,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),"Given the ongoing market consultations, how would you rate your own readiness for a T+1 transition in the UK, Europe and Australia today?",table-stars,Switzerland,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What is the main project type that you trade (voluntary) carbon credits for?,table-stars,Australia,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),"Given the ongoing market consultations, how would you rate your own readiness for a T+1 transition in the UK, Europe and Australia today?",table-stars,Australia,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What is the main project type that you trade (voluntary) carbon credits for?,table-stars,Japan,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Do you agree or disagree that the May 2024 T+1 transitions effectively achieved the following:,table-radio,Greater market automation,,No opinion
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What is the main project type that you trade (voluntary) carbon credits for?,table-stars,Hong Kong,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),"Given the ongoing market consultations, how would you rate your own readiness for a T+1 transition in the UK, Europe and Australia today?",table-stars,Hong Kong,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What is the main project type that you trade (voluntary) carbon credits for?,table-stars,Singapore,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),"Given the ongoing market consultations, how would you rate your own readiness for a T+1 transition in the UK, Europe and Australia today?",table-stars,Singapore,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),What is the main project type that you trade (voluntary) carbon credits for?,table-stars,Brazil,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),"Given the ongoing market consultations, how would you rate your own readiness for a T+1 transition in the UK, Europe and Australia today?",table-stars,Brazil,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Which areas have you been involved with (in terms of funded / scoped projects) post T+1 transition?,checkbox,Enterprise,,Enterprise
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Which areas have you been involved with (in terms of funded / scoped projects) post T+1 transition?,checkbox,Onboarding / SSIs,,Onboarding / SSIs
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Which areas have you been involved with (in terms of funded / scoped projects) post T+1 transition?,checkbox,Middle office,,Middle office
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Which areas have you been involved with (in terms of funded / scoped projects) post T+1 transition?,checkbox,FX,,FX
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Which areas have you been involved with (in terms of funded / scoped projects) post T+1 transition?,checkbox,Funding,,Funding
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Which areas have you been involved with (in terms of funded / scoped projects) post T+1 transition?,checkbox,Settlements,,Settlements
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Which areas have you been involved with (in terms of funded / scoped projects) post T+1 transition?,checkbox,Securities lending,,Securities lending
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Which areas have you been involved with (in terms of funded / scoped projects) post T+1 transition?,checkbox,Corporate actions,,Corporate actions
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Which areas have you been involved with (in terms of funded / scoped projects) post T+1 transition?,checkbox,Reconciliations,,Reconciliations
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How would you rate the importance of the following factors by their importance in ensuring a smooth transition to T+1 in 2024?,table-stars,Additional hiring,,5
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),Who do you see as the key partners in resolving the expansion projects above?,table-stars,Client and stakeholder education efforts,,4
7940940102,Investment Management,Singapore,Apac,Fund Manager (mutual funds),How would you rate the importance of the following factors by their importance in ensuring a smooth transition to T+1 in 2024?,table-stars,Client and stakeholder education efforts,,4
